"Site","Type","Classification","Date","Time","Duration","Depth","Visibility","Weather","Current","Boats","Researcher","total_N","Species","Count","Functional_Group","survey_id"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"08:00",8,NA,7,"1","None",0,"GlobalReef",100.75,"sml_Grouper",26,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"08:00",8,NA,7,"1","None",0,"GlobalReef",100.75,"lrg_Grouper",2,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Parrotfish",2,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Rabbitfish",8,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Butterflyfish",7,"Herbivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Angelfish",1,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Cleaner_Wrasse",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Batfish",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Thicklip",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Red_Breast",2,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Slingjaw",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Sweetlips",53,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Squirrel.Soldier",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Triggerfish",0,"Invertivore","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Brown_Stripe_Snapper",24,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Russels_Snapper",146,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"lrg_Snapper",6,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Trevally",1,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"Emperorfish",1,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"sml_Grouper",2,"Mesopredator","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-05-01,"10:00",8,24,7,"1","None",1,"GlobalReef",205.5,"lrg_Grouper",1,"HTLP","Aow Mao Wreck_2023-05-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Parrotfish",8,"Herbivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Rabbitfish",18,"Herbivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Butterflyfish",15,"Herbivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Angelfish",2,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Cleaner_Wrasse",3,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Batfish",1,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Thicklip",3,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Red_Breast",2,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Slingjaw",0,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Sweetlips",11,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Squirrel.Soldier",0,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Triggerfish",0,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Brown_Stripe_Snapper",1,"Mesopredator","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Russels_Snapper",2,"Mesopredator","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"lrg_Snapper",0,"HTLP","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Trevally",2,"HTLP","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"Emperorfish",3,"Mesopredator","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"sml_Grouper",47,"Mesopredator","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,NA,8,NA,NA,NA,NA,NA,"GlobalReef",253.25,"lrg_Grouper",2,"HTLP","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Parrotfish",8,"Herbivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Rabbitfish",81,"Herbivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Butterflyfish",10,"Herbivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Angelfish",1,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Cleaner_Wrasse",2,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Batfish",0,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Thicklip",0,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Red_Breast",2,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Slingjaw",0,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Sweetlips",53,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Squirrel.Soldier",0,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Triggerfish",1,"Invertivore","Aow Mao Wreck_2023-06-01"
"Aow Mao Wreck","Artificial","Shipwreck",2023-06-01,"10:00",8,20,7,"1","None",3,"GlobalReef",250.75,"Brown_Stripe_Snapper",40,"Mesopredator","Aow Mao Wreck_2023-06-01"
